entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason
2025-11-26 22:14:00,2025-11-26 22:44:00,LONG,89966.86,89667.22,-299.6399999999994,Stop Loss
2025-11-26 22:55:00,2025-11-26 23:25:00,LONG,89894.17,90215.8,321.63000000000466,Take Profit
2025-11-27 00:02:00,2025-11-27 00:06:00,SHORT,90119.35,90239.13,-119.77999999999884,Stop Loss
2025-11-27 00:08:00,2025-11-27 00:11:00,LONG,90279.66,90522.78,243.11999999999534,Take Profit
2025-11-27 00:32:00,2025-11-27 00:58:00,SHORT,90263.06,90452.37,-189.30999999999767,Stop Loss
2025-11-27 00:59:00,2025-11-27 01:11:00,LONG,90377.25,90577.08,199.83000000000175,Take Profit
2025-11-27 01:29:00,2025-11-27 01:45:00,SHORT,90328.77,90479.1,-150.33000000000175,Stop Loss
2025-11-27 02:05:00,2025-11-27 02:15:00,SHORT,90360.71,90140.16,220.5500000000029,Take Profit
2025-11-27 03:49:00,2025-11-27 03:56:00,SHORT,90635.56,90839.13,-203.570000000007,Stop Loss
2025-11-27 05:00:00,2025-11-27 11:18:00,SHORT,91345.28,91672.46,-327.18000000000757,Stop Loss
2025-11-27 11:51:00,2025-11-27 12:20:00,SHORT,91566.09,91711.69,-145.60000000000582,Stop Loss
2025-11-27 12:21:00,2025-11-27 12:31:00,LONG,91709.21,91596.06,-113.15000000000875,Stop Loss
2025-11-27 12:32:00,2025-11-27 12:43:00,SHORT,91410.09,91584.6,-174.5100000000093,Stop Loss
2025-11-27 12:56:00,2025-11-27 13:21:00,LONG,91608.74,91427.14,-181.60000000000582,Stop Loss
2025-11-27 14:14:00,2025-11-27 14:21:00,LONG,91394.12,91247.83,-146.2899999999936,Stop Loss
2025-11-27 15:41:00,2025-11-27 18:23:00,LONG,90844.54,91245.4,400.8600000000006,Take Profit
2025-11-27 19:31:00,2025-11-27 19:34:00,SHORT,91304.06,91487.5,-183.44000000000233,Stop Loss
2025-11-27 19:36:00,2025-11-27 20:42:00,LONG,91447.44,91743.6,296.1600000000035,Take Profit
2025-11-27 21:12:00,2025-11-27 21:52:00,LONG,91627.52,91512.12,-115.40000000000875,Stop Loss
2025-11-27 22:35:00,2025-11-27 22:37:00,LONG,91572.71,91461.93,-110.7800000000134,Stop Loss
2025-11-27 22:40:00,2025-11-27 23:05:00,SHORT,91481.24,91291.89,189.35000000000582,Take Profit
2025-11-27 23:18:00,2025-11-28 00:00:00,LONG,91501.17,91377.7,-123.47000000000116,Stop Loss
2025-11-28 00:17:00,2025-11-28 00:36:00,LONG,91554.93,91458.49,-96.43999999998778,Stop Loss
2025-11-28 00:40:00,2025-11-28 00:43:00,SHORT,91455.19,91314.6,140.5899999999965,Take Profit
2025-11-28 01:05:00,2025-11-28 01:25:00,LONG,91481.7,91348.19,-133.50999999999476,Stop Loss
2025-11-28 01:31:00,2025-11-28 02:11:00,SHORT,91296.94,91140.17,156.77000000000407,Take Profit
2025-11-28 02:32:00,2025-11-28 02:49:00,LONG,91264.16,91136.01,-128.15000000000873,Stop Loss
2025-11-28 03:41:00,2025-11-28 03:52:00,LONG,91032.1,90874.31,-157.79000000000815,Stop Loss
2025-11-28 04:39:00,2025-11-28 04:55:00,LONG,90817.88,91095.56,277.679999999993,Take Profit
2025-11-28 05:44:00,2025-11-28 06:10:00,SHORT,91123.39,91329.02,-205.63000000000466,Stop Loss
2025-11-28 07:02:00,2025-11-28 07:09:00,SHORT,91357.31,91472.93,-115.61999999999534,Stop Loss
2025-11-28 07:11:00,2025-11-28 08:13:00,LONG,91513.75,91396.07,-117.67999999999302,Stop Loss
2025-11-28 08:44:00,2025-11-28 08:59:00,LONG,91401.11,91284.45,-116.66000000000349,Stop Loss
2025-11-28 09:03:00,2025-11-28 09:23:00,LONG,91383.32,91507.0,123.67999999999302,Take Profit
2025-11-28 09:34:00,2025-11-28 09:42:00,SHORT,91246.31,91066.96,179.34999999999127,Take Profit
2025-11-28 10:14:00,2025-11-28 10:50:00,LONG,91111.01,91366.12,255.11000000000058,Take Profit
2025-11-28 11:37:00,2025-11-28 12:39:00,SHORT,91510.05,91644.36,-134.30999999999767,Stop Loss
2025-11-28 13:08:00,2025-11-28 13:15:00,SHORT,91586.66,91110.89,475.7700000000041,Take Profit
2025-11-28 13:50:00,2025-11-28 14:34:00,LONG,91394.96,91599.15,204.1899999999878,Take Profit
2025-11-28 14:42:00,2025-11-28 15:34:00,SHORT,91480.9,91615.25,-134.35000000000582,Stop Loss
2025-11-28 16:40:00,2025-11-28 17:20:00,SHORT,92240.0,92711.65,-471.64999999999424,Stop Loss
2025-11-28 17:48:00,2025-11-28 18:05:00,SHORT,92379.74,92038.17,341.570000000007,Take Profit
